Kind,Artifact,Reviewer comment,Single purpose,Files
table,table_convergence_summary,A7,"Convergence behaviour of every architecture: when early stopping fired, peak validation accuracy, and the train-validation gap that the overfitting discussion in Section 4.2 rests on.",tables/table_convergence_summary.csv
table,table08_per_class_metrics,B13,"Manuscript Table 8. Per-class precision, recall and F1 on the held-out test partition, with the absolute correct/error counts alongside, so the percentages can be read against the 18-clip support they rest on (Reviewer B comment 13).",tables/table08_per_class_metrics.csv
table,table08b_per_class_metrics_multiseed,"B13, A9","Per-class metrics as mean +/- s.d. over 1 seeds. Preferable to the single-run table above wherever the manuscript can accommodate it, because a single run on 18 clips per class is not a stable estimate.",tables/table08b_per_class_metrics_multiseed.csv
figure,fig06_confusion_matrix_counts,B13,"Manuscript Figure 6, in the format Reviewer B comment 13 requested: absolute counts with the row percentage in parentheses. With 18 clips per class one error is 5.56 percentage points, so counts carry the information and percentages alone do not.",figures/fig06_confusion_matrix_counts.png; figures/fig06_confusion_matrix_counts.pdf; figures/fig06_confusion_matrix_counts.svg
table,table_confusion_matrix_counts,B13,"The confusion matrix as text in the ""17 (94.4%)"" format, ready to paste into the manuscript.",tables/table_confusion_matrix_counts.csv
table,confusion_matrix_summed_over_seeds,B13,Confusion counts summed over 1 seeds (126 decisions). A more stable picture of which class pairs actually confuse than any single run.,tables/confusion_matrix_summed_over_seeds.csv
table,table_confusion_pairs,"B4, B13","Every confused class pair, ranked. Replaces the assertion in Section 4.4 that confusions occur ""between gestures with similar intermediate hand shapes"" with the list of pairs that actually confuse, which §21 then relates to the measured gesture characteristics.",tables/table_confusion_pairs.csv
table,table_overall_metrics_proposed,"B8, B9","Every aggregate metric for the proposed recognition model, as the checkpointed best run and as mean +/- s.d. over seeds. These figures characterize the RECOGNITION stage only; the speech-synthesis stage is a pretrained component and is not evaluated anywhere in this study (Reviewer B comments 8 and 9).",tables/table_overall_metrics_proposed.csv
figure,fig_roc_pr_curves,B13,One-vs-rest ROC and precision-recall curves per class. Threshold-free evidence that complements the single operating point the confusion matrix reports.,figures/fig_roc_pr_curves.png; figures/fig_roc_pr_curves.pdf; figures/fig_roc_pr_curves.svg
table,table_calibration_bins,B14,"Reliability of the softmax confidence. Expected calibration error = 0.0164. Relevant because Algorithm 1 gates speech output on a confidence threshold, which is only meaningful if the confidence is calibrated.",tables/table_calibration_bins.csv
table,table_confidence_threshold_sweep,B14,"Coverage against accuracy as the confidence threshold tau of Algorithm 1 varies. The row where ""Errors spoken"" first reaches zero is the value to quote when arguing that suppressing low-confidence output is a viable safeguard; the coverage column is the price paid for it.",tables/table_confidence_threshold_sweep.csv
figure,fig_confidence_threshold,B14,The operating curve behind the confidence threshold in Algorithm 1: how much coverage must be given up to stop errors reaching the speech stage.,figures/fig_confidence_threshold.png; figures/fig_confidence_threshold.pdf; figures/fig_confidence_threshold.svg
record,test_predictions,"A9, A14","Clip-level predictions with the full class posterior for the proposed model, and predicted labels for every run of every architecture. Lets any reviewer recompute every metric in the paper from scratch.",predictions/test_predictions_proposed.csv; predictions/
table,table_mcnemar_tests,A9,"REVIEWER A COMMENT 9. McNemar exact tests of the proposed model against every baseline on the identical test clips, with Holm-Bonferroni correction for the family of comparisons. Only the rows marked ""yes"" support a claim of superiority; for the rest the paper should say the difference is not statistically distinguishable on this test set.",tables/table_mcnemar_tests.csv
table,table_bootstrap_confidence_intervals,A9,"Percentile bootstrap (2,000 resamples of the 126 test clips) on each model accuracy, and on the paired difference from the proposed model. The difference interval is the decisive column: where it contains zero, the manuscript must not claim an advantage.",tables/table_bootstrap_confidence_intervals.csv
table,table_seed_level_tests,A9,Paired tests across the 1 initialization seeds. With so few seeds these p-values have very little power and are reported for completeness; the McNemar tests on the paired clip-level decisions are the stronger evidence.,tables/table_seed_level_tests.csv
table,table09_ablation_study,"A4, A5, A10, B6, B16","MANUSCRIPT TABLE 9, extended. Each variant differs from the full model in exactly one decision, under the identical protocol, averaged over seeds. The width, depth, attention-variant, normalization and face rows are new: they are what turn the design justifications in Section 3.5 (Reviewer A comment 4), the attention specification (A5), the face exclusion (A10) and the normalization scope (B6) from claims into measurements.",tables/table09_ablation_study.csv
figure,fig08_ablation,"A4, A5, A10, B6",Manuscript Figure 8. Accuracy change when each single design decision is changed. Negative bars are components the full model needs; positive bars are decisions the measurement does not support and that the manuscript should revisit.,figures/fig08_ablation.png; figures/fig08_ablation.pdf; figures/fig08_ablation.svg
table,table_ablation_per_class_recall,"B4, B16","Per-class recall under every ablation variant. Needed to relate feature importance to individual gestures rather than only to the corpus average, which is what Reviewer B comments 4 and 16 require.",tables/table_ablation_per_class_recall.csv
record,attention_weights,A5,"The learned attention distribution over the 60 frames for every test clip, and the resulting context vectors. Lets any reader reproduce Figure 7 and verify that alpha sums to one and gives padded frames zero weight.",attention_weights_test.npy; attention_context_vectors_test.npy
figure,fig07_attention_weights,A5,"Manuscript Figure 7. Learned attention distribution over the 60 frames for one test clip of each class; the dashed line marks the highest-weight frame and the shaded region marks zero-padded frames, which receive no weight.",figures/fig07_attention_weights.png; figures/fig07_attention_weights.pdf; figures/fig07_attention_weights.svg
figure,fig_attention_mean_profiles,A5,Class-averaged attention profiles against the uniform baseline. The evidence for the claim in Section 4.6 that attention mass concentrates on an interval rather than spreading evenly.,figures/fig_attention_mean_profiles.png; figures/fig_attention_mean_profiles.pdf; figures/fig_attention_mean_profiles.svg
table,table_attention_concentration,A5,"Attention concentration per class. Uniform attention over 60 frames has entropy 4.0943 nats and a peak weight of 0.0167, so the ratio column reads as 1.0 for no selectivity and falls towards 0 as attention sharpens. ""Mass in top 10 frames"" is the share of the distribution on the ten most salient frames -- the number to quote in Section 4.6 instead of a qualitative description.",tables/table_attention_concentration.csv
figure,fig_context_vector_projection,A5,t-SNE of the test clips before and after the network. Panel (b) is the 128-dimensional context vector produced by temporal attention: the class structure the classification head actually sees.,figures/fig_context_vector_projection.png; figures/fig_context_vector_projection.pdf; figures/fig_context_vector_projection.svg
table,table_gesture_characteristics,B4,"REVIEWER B COMMENT 4. Visual and articulatory characteristics of every gesture, MEASURED from the landmark corpus rather than described informally. Heights and offsets are in shoulder-width units, so they are comparable across signers and camera distances; positive height means the hand sits above the reference landmark. ""Finger curl"" is the mean fingertip-to-wrist distance divided by the mean knuckle-to-wrist distance, so it is near 1 for a closed fist and above 2 for extended fingers. ""Direction reversals"" counts vertical velocity sign changes and is a proxy for repeated movement. These are the facts Section 3.2.6 can state; the full phonological annotation with Deaf consultants remains future work.",tables/table_gesture_characteristics.csv
table,table_characteristics_vs_ablation,"B4, B16","REVIEWER B COMMENTS 4 AND 16. Per-class measured characteristics beside per-class recall under each feature-stream ablation. This is the correlation the reviewer asks for, and it is the right place to be careful: these columns show which gestures in THIS corpus depend on which stream. They do not establish that hand configuration is linguistically dominant in Swahili Sign Language -- seven manual glosses from two signers cannot support that conclusion, and the face stream was excluded from the primary representation altogether.",tables/table_characteristics_vs_ablation.csv
figure,fig_characteristics_correlation,"B4, B16","Spearman correlations among the measured gesture characteristics and the per-class loss from removing each feature stream. With only seven classes these coefficients are indicative, not inferential, and the manuscript should say so.",figures/fig_characteristics_correlation.png; figures/fig_characteristics_correlation.pdf; figures/fig_characteristics_correlation.svg
table,table_signer_independent,B15,"REVIEWER B COMMENT 15. Leave-one-signer-out results: each fold trains on one signer and tests on the other. With 2 signers this is a 2-fold estimate and its precision is correspondingly poor, which the manuscript must state. It is nonetheless a measured signer-independent number, which the current text says does not exist.",tables/table_signer_independent.csv
table,table_protocol_comparison,B15,"The two protocols side by side. This table is what Section 4.1 should carry: it states precisely what the headline number does and does not establish, and gives the signer-independent counterpart rather than only a caveat.",tables/table_protocol_comparison.csv
table,table_signer_independent_per_class,B15,"Which gestures survive the change of signer and which do not. The transfer-loss column identifies the classes whose articulation differs most between the two signers, which is concrete guidance for what an enlarged corpus should prioritize.",tables/table_signer_independent_per_class.csv
figure,fig_signer_independent_confusion,B15,"Cross-signer confusion counts for each held-out signer, beside the signer-dependent matrix. Shows that the drop is concentrated in specific gestures rather than spread evenly.",figures/fig_signer_independent_confusion.png; figures/fig_signer_independent_confusion.pdf; figures/fig_signer_independent_confusion.svg
table,table05_parameter_audit,B10,"MANUSCRIPT TABLE 5, corrected. Layer-by-layer parameter counts of the proposed model AS BUILT, plus an analytic multiply-accumulate estimate per 60-frame clip. The published table lists per-layer counts that sum to roughly 600k while the text quotes 177,607 and attributes the difference to ""weight sharing"", which describes nothing in this architecture. Quote the total below and delete that footnote.",tables/table05_parameter_audit.csv
table,table_parameter_reconciliation,B10,"REVIEWER B COMMENT 10, stated plainly. The measured column is what the architecture in Table 5 actually costs; the published column is what the manuscript currently claims. Replace the figure in the abstract, Table 5, Table 10, Table 11 and Section 4.7.2 with the measured total.",tables/table_parameter_reconciliation.csv
table,table_parameters_vs_accuracy,"B10, A1",Parameter count against accuracy for every architecture. The efficiency column is the quantitative version of the lightweight-design argument in Section 4.7.2.,tables/table_parameters_vs_accuracy.csv
table,table_runtime_benchmark,B14,"REVIEWER B COMMENT 14. Measured latency of every stage, with percentiles, on this runtime. Landmark extraction dominates: it is a CPU-bound per-frame cost, whereas classification runs once per clip. Two rules for the manuscript: quote the CPU figures, because the deployment argument in Section 4.7.2 is about commodity hardware; and name the device, because a Colab GPU is neither a phone nor a low-cost laptop. Only claim real-time operation if the per-frame verdict row says ""within budget"" on the TARGET device.",tables/table_runtime_benchmark.csv
figure,fig_runtime_benchmark,B14,"Measured runtime. Panel (b) is the point for the deployment discussion: the classifier is a small fraction of the cost, so the parameter count is not what determines interactivity.",figures/fig_runtime_benchmark.png; figures/fig_runtime_benchmark.pdf; figures/fig_runtime_benchmark.svg
record,tts_config,"B1, B7, B8, B9","Complete operational configuration of the MMS-VITS speech stage: checkpoint, architecture, parameter count, sampling rate, generation parameters, normalization, and an explicit statement that no fine-tuning or evaluation was performed.",tts_config.json
table,table_label_to_speech_mapping,B7,"The fixed lookup table that converts a class index into Swahili text. No language model and no text generation are involved, so the mapping is deterministic and lossless -- which is what Section 3.7 asserts and this table verifies.",tables/table_label_to_speech_mapping.csv
table,table_speech_synthesis,"B7, B14","Measured behaviour of the pretrained speech stage per class: token count, audio duration, synthesis latency and real-time factor on CPU. These are properties of a released model used unchanged, not results of this study (Reviewer B comments 8 and 9).",tables/table_speech_synthesis.csv
record,audio,B7,"One synthesized Swahili utterance per gesture class, produced by the documented checkpoint and configuration.",audio/nenda.wav; audio/njema.wav; audio/mama.wav; audio/hedhi.wav; audio/kula.wav; audio/baba.wav; audio/habari.wav
table,table_end_to_end_demonstration,"B7, B8","The complete pipeline exercised on real test clips: the recognition decision, its confidence, and the Swahili string handed to the synthesizer. Note that an incorrect row is still spoken confidently, which is the error-propagation property Section 4.7.2 discusses.",tables/table_end_to_end_demonstration.csv
figure,fig_landmark_pipeline,B5,"REVIEWER B COMMENT 5. The path from one video frame to the model input tensor, with every dimension shown: 33 pose + 21 + 21 hand landmarks, 258 features per frame, 60 x 258 per clip.",figures/fig_landmark_pipeline.png; figures/fig_landmark_pipeline.pdf; figures/fig_landmark_pipeline.svg
figure,fig_system_architecture,"A15, B1, B5, B8, B9","REVIEWER A COMMENT 15, and the figure that settles Reviewer B comments 1, 8 and 9. The end-to-end system with the recognition stage (this study) separated from the pretrained speech-synthesis stage. Replaces the current Figure 1, whose single undifferentiated chain is what invited the reviewers to read MMS-VITS as part of the contribution.",figures/fig_system_architecture.png; figures/fig_system_architecture.pdf; figures/fig_system_architecture.svg
figure,fig_attention_block,A5,"REVIEWER A COMMENT 5, drawn. The attention block with its input, its three equations, its parameter shapes and its output dimensionality, so Section 3.5 can be checked against it without reading code.",figures/fig_attention_block.png; figures/fig_attention_block.pdf; figures/fig_attention_block.svg
record,swsl_release_bundle,A14,"REVIEWER A COMMENT 14. A complete, self-contained release: the landmark corpus, the trained model, the normalization constants, the exact partition, a data dictionary, a licence and a citation file. Upload to Zenodo for a DOI, mirror the code on GitHub, and replace the ""available upon reasonable request"" sentence in the Data Availability Statement with the DOI.",swsl_release_bundle.zip
table,REVIEWER_EVIDENCE_MAP,all,All 32 reviewer comments with the artifact that answers each one. The spine of the response letter.,tables/REVIEWER_EVIDENCE_MAP.csv
table,table01_positioning_template,A3,"REVIEWER A COMMENT 3. Column skeleton for Table 1. Accuracy is deliberately not a column: the studies use different corpora and protocols, so placing their numbers side by side invites a comparison the experiments do not support.",tables/table01_positioning_template.csv
table,related_work_synthesis_template,A2,"REVIEWER A COMMENT 2. Skeleton for the synthesis paragraph that must close Section 2, linking the literature to this study's contributions instead of summarizing theory.",tables/related_work_synthesis_template.csv
